City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Los Angeles,UberX,COMPLETED,2020-02-17 04:43:38 +0000 UTC,2020-02-17 04:52:00 +0000 UTC,34.08361,-118.35209,"7422 Melrose Ave, Los Angeles, CA 90046, US",2020-02-17 05:01:35 +0000 UTC,34.09819,-118.3077,"5419 W Sunset Blvd, Los Angeles, CA 90027, US",3.56,9.14,USD
Los Angeles,UberX,COMPLETED,2020-02-17 01:17:06 +0000 UTC,2020-02-17 01:19:19 +0000 UTC,33.99775,-118.47477,"423 Rose Ave, Venice, CA 90291, US",2020-02-17 01:29:59 +0000 UTC,33.98216,-118.45949,"4100 Admiralty Way, Marina del Rey, CA 90292, US",2.21,7.43,USD
Los Angeles,UberX,COMPLETED,2020-02-16 20:29:34 +0000 UTC,2020-02-16 20:35:00 +0000 UTC,33.9617397,-118.367347,"621 W Manchester Blvd, Inglewood, CA 90301, US",2020-02-16 20:55:09 +0000 UTC,33.979347,-118.4664342,"Venice Beach Pier Public Parkingl Lot, Unnamed Road, Marina Del Rey, CA 90292, United States",7.27,11.65,USD
Los Angeles,UberX,COMPLETED,2020-02-16 18:45:42 +0000 UTC,2020-02-16 18:51:31 +0000 UTC,33.9822129,-118.4594291,"4100 Admiralty Way, Marina del Rey, CA 90292, US",2020-02-16 19:07:13 +0000 UTC,33.962254,-118.3670677,"621 W Manchester Blvd, Inglewood, CA 90301, US",7.24,10.63,USD
Los Angeles,UberX,COMPLETED,2020-02-16 00:17:16 +0000 UTC,2020-02-16 00:23:12 +0000 UTC,34.01283,-118.49658,"111 Broadway, Santa Monica, CA 90401, US",2020-02-16 00:46:38 +0000 UTC,33.9822,-118.45949,"4100 Admiralty Way, Marina del Rey, CA 90292, US",3.81,10.3,USD
Los Angeles,UberX,DRIVER_CANCELED,2020-02-15 23:36:22 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,34.0102773,-118.4934412,,1970-01-01 00:00:00 +0000 UTC,34.0135063,-118.4972225,"4100 Admiralty Way, Marina del Rey, CA 90292, US",0.00,5,USD
Los Angeles,UberX,CANCELED,2020-02-15 23:35:06 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"2533-2585 S Sepulveda Blvd, Los Angeles, CA 90064, USA",0.00,0,USD
Los Angeles,UberX,COMPLETED,2020-02-15 21:34:42 +0000 UTC,2020-02-15 21:37:17 +0000 UTC,33.9908636,-118.4670696,"1331 Abbot Kinney Blvd, Venice, CA 90291, US",2020-02-15 21:55:53 +0000 UTC,34.0111152,-118.4944199,"200 Santa Monica Pier Ste A, Santa Monica, CA 90401, US",2.24,8.08,USD
Los Angeles,UberX,COMPLETED,2020-02-15 18:37:59 +0000 UTC,2020-02-15 18:41:56 +0000 UTC,34.03419,-118.43333,"2544 S Sepulveda Blvd, Los Angeles, CA 90064, US",2020-02-15 19:05:23 +0000 UTC,33.98222,-118.45949,"4100 Admiralty Way, Marina del Rey, CA 90292, US",9.38,14.17,USD
Los Angeles,UberX,COMPLETED,2020-02-15 04:36:58 +0000 UTC,2020-02-15 04:42:19 +0000 UTC,34.03424,-118.4334,"2544 S Sepulveda Blvd, Los Angeles, CA 90064, US",2020-02-15 04:53:05 +0000 UTC,33.99695,-118.43188,"12517 W Washington Blvd, Culver City, CA 90066, US",3.79,7.31,USD
